,Title,Genre,Rating,Description,Director,Votes,Gross,Keyword
4737,Séraphin: un homme et son péché,Drama,6.6,A young woman is forced to marry an old greedy man to save her father from bankruptcy although she has promised her heart to another man.,Charles Binamé,1069,N/A,winter
4738,The Life & Adventures of Santa Claus,"Animation, Family, Fantasy",6.8,A human orphan raised by the Faire Folke becomes the benefactor of all human children.,Glen Hill,535,N/A,winter
4739,Armored Command,"Drama, War",5.2,An American army unit is trapped in a small town during a German counterattack and discovers that a spy in the town is providing the Germans with information about them.,Byron Haskin,260,N/A,winter
4740,Reisen til julestjernen,"Adventure, Family, Fantasy",5.7,Once upon a time a little girl went out to find the Christmas star.,Nils Gaup,1640,N/A,winter
4741,Experiment Perilous,"Film-Noir, Romance, Thriller",6.4,"In 1903, a doctor suspects murder in the gothic Bederaux family.",Jacques Tourneur,1826,N/A,winter
4742,La tempesta,"Adventure, History",6.3,"In 18th century Russia, Imperial officer Piotr Grinov is dispatched to a faraway isolated outpost where his loyalties are tested during the Pugachev Rebellion against the Empress Catherine II.",Alberto Lattuada,246,N/A,winter
4743,The Ninja Mission,"Action, Drama",4.1,"Swedish scientist named Karl Markov is taken hostage by the KGB. After his daughter Nadia is also kidnapped and brought deep into the heart of Russia, a group of highly trained ninjas, led ...                See full summary »",Mats Helge Olsson,735,N/A,winter
4744,Nagykarácsony,"Comedy, Romance",6.2,A firefighter develops a fear of heights and has strange visions after his wedding proposal goes up in smoke.Will a teacher he meets later cure his vertigo and mend his broken heart?,Dániel Tiszeker,1270,N/A,winter
4745,Fuck Up,"Comedy, Crime, Drama",5.9,Jack is pleased with himself. He has just decided to stop screwing anything with a pulse and cut back on his enthusiastic drug use. That same night his best friend Glenn crashes into a ...                See full summary »,Øystein Karlsen,822,N/A,winter
4746,Gone in a Heartbeat,Drama,5.1,Two teenage kidnappers keep their victim hidden away from the world but her health condition is getting worse every second.Who will find her and save her before the tragic end and would the...                See full summary »,Jerry Jameson,190,N/A,winter
4747,Blood Runs Cold,Horror,4.0,"Winona, a successful artist looking to get away from her stressful life. Her manager rents her a house in her home town where she runs in to an old boyfriend. They go back to the house, only to find out it is not as empty as they assumed.",Sonny Laguna,1390,N/A,winter
4748,Polismördaren,"Crime, Drama, Mystery",5.8,"A woman is found murdered in a closed amusement park. A young couple who happen to be there at the same time become, without their knowledge, suspects for the murder. They are chased by a ...                See full summary »",Peter Keglevic,1035,N/A,winter
4749,Blackheart,"Crime, Drama, Thriller",4.7,"Ray and Annette are a couple who scam, lie and seduce to get wealth from unspecting wealthy people.",Dominic Shiach,239,N/A,winter
4750,Strike Force,"Crime, Drama, Sport",4.2,A New York City detective teams up with a federal agent and a state trooper to bust up a drug ring.,Barry Shear,247,N/A,winter
4751,Islander,Drama,6.4,"After a tragic accident at sea, Eben Cole loses his family, friends and stature in his island fishing community. He returns to the island an outcast but determined to win back the way of ...                See full summary »",Ian McCrudden,291,N/A,winter
4752,Edelweisspiraten,"Drama, History, War",6.1,"Cologne-Ehrenfeld, November 1944. They're young, wild and rebellious, like young people anywhere and in any time, but working-class boys Karl and his younger brother Peter are Edelweiss ...                See full summary »",Niko von Glasow,554,N/A,winter
4753,Bobo und die Hasenbande 2 - Abenteuer im Wald,"Animation, Comedy, Drama",5.9,The animals of the forest must combine their strengths to defeat a pair of poachers.,József Gémes,177,N/A,winter
4754,Utomlennye solntsem 2,"Drama, History, War",4.2,"A bitter story of the time of World War II, which depicts that for the victims of Stalin's repression peaceful life was sometimes even worse than burdens of battlefields against Nazi.",Nikita Mikhalkov,2078,N/A,winter
4755,Vaietut arktiset sodat,"Documentary, History, War",7.9,A six-part documentary series about the least known events of World War II. The series reveal a little-known picture and countless unknown details of the events of World War II in the north.,Peter Franzén,120,N/A,winter
4756,"Duck! Rabbit, Duck!","Animation, Short, Adventure",8.1,"The final installment of the ""Hunting Trilogy"" once again has Elmer out hunting, while Bugs and Daffy try to con him into shooting the other.",Chuck Jones,3470,N/A,winter
4757,Koridor bessmertiya,"Drama, War",5.6,"Yesterday's Leningrad schoolgirl Masha Yablochkina, after a fierce blockade winter of 1941-1942, comes to the railway courses hoping to survive and gain strength. From there, the girl is ...                See full summary »",Fedor Popov,363,N/A,winter
4758,Ivan Denisovich,Drama,5.2,Thousands of Soviet soldiers who fought the Nazis and whose only 'crime' was to get caught. Why then would prisoners like Ivan Denisovich fight to stay alive to face another day of hell?,Gleb Panfilov,194,N/A,winter
4759,Mystery House,"Adventure, Crime, Mystery",5.5,"When a prominent banker is murdered while on a hunting trip, the dead man's daughter, Gwen Kingery (Anne Nagel), calls in private eye Lance O'Leary (Dick Purcell) to investigate.",Noel M. Smith,568,N/A,winter
4760,Moy drug Ivan Lapshin,Drama,7.5,"Russian provincial town in the middle of the 1930s Stalin's Great Purge. Ivan Lapshin, the head of the local police, does what he has to do. And he does it well.",Aleksey German,2503,N/A,winter
4761,Nya hyss av Emil i Lönneberga,"Comedy, Drama, Family",7.2,"Emil visit the market in Vimmerby, take part in the yearly religious examination and save Alfred from dying in a snow storm.",Olle Hellbom,2654,N/A,winter
4762,Torzók,Drama,7.2,"Áron is a happy child in his family. But at some point things take a different turn, and his mother starts to lose her health rapidly. As this happens, the man in charge decides what's best...                See full summary »",Árpád Sopsits,601,N/A,winter
4763,Shoot,"Action, Drama, Thriller",5.8,"Two groups of armed men eye each other across a body of water. An deadly incident ensues and the first group returns to their town in fear of the consequences, which never come.They realize that far greater danger is offing.",Harvey Hart,365,N/A,winter
4764,Tweetie Pie,"Animation, Family, Short",7.1,"Thomas the cat finds Tweety in the snow, warming himself by a cigar butt. Thomas's mistress rescues the little yellow bird before her cat can devour him, but Thomas doesn't give up.",Friz Freleng,1451,N/A,winter
4765,The Wishing Tree,"Family, Romance",6.2,A special Christmas tree decorated with handwritten wishes helps Evan and his group of orphaned students develop a connection and a sense of family.,Terry Ingram,708,N/A,winter
4766,Italyanets,Drama,7.5,"Set in 2002, an abandoned 5-year-old boy living in a rundown orphanage in a small Russian village is adopted by an Italian family.",Andrey Kravchuk,3292,$0.55M,winter
4767,Det vita folket,"Drama, Mystery, Sci-Fi",4.4,"In Sweden of today, Alex is among a group of people carried in an underground ""prison"" waiting for their expulsion from the country. We do not know to where, do not know why.",Lisa Aschan,406,N/A,winter
4768,Spielzeugland,"Short, Drama, War",7.7,A German mother lies to her son about where the Nazis are sending their Jewish neighbors.,Jochen Alexander Freydank,3028,N/A,winter
4769,Barnen från Frostmofjället,"Family, Drama",6.4,"Northern Sweden in the middle of the 19th century. Seven children lose their parents, and to avoid the poor-house, they start on a long trek over the mountains to find a better life. 12-...                See full summary »",Rolf Husberg,357,N/A,winter
4770,The Outside Chance of Maximilian Glick,"Comedy, Drama, Music",6.9,A young Jewish adolescent from an overbearing family likes a Christian girl and is helped by a fun-loving rabbi.,Allan A. Goldstein,253,$0.32M,winter
4771,Åsa-Nisse på jaktstigen,Comedy,4.0,"Åsa-Nisse and Klabbarparn are hunting enthusiasts. This includes illicit hunting, but the new police officer Klöverhage keeps a sharp eye on them. When Åsa-Nisse happens to get caught with ...                See full summary »",Ragnar Frisk,129,N/A,winter
4772,What If God Were the Sun?,Drama,6.1,"A grieving nurse finds comfort and inspiration in her new assignment, where she meets a terminally ill woman with a quick wit and strong faith.",Stephen Tolkin,428,N/A,winter
4773,Optimus Gang,Comedy,8.7,A sketch comedy series about everything imaginable by ordinary guys from Kyiv.,Sasha Frutis,60,N/A,winter
4774,White Christmas,"Crime, Drama, Horror",8.0,"After receiving an anonymous letter stating that someone would die, eight students at the elite boarding school decided to remain at school for the 8 days of winter break. To accompany them, a teacher is forced to remain.",Kim Sang-kyung,355,N/A,winter
4775,Waga haha no ki,Drama,7.3,"Based on an autobiographical novel by Inoue Yasushi, the film chronicles the passage of fifteen years within a family struggling with abandonment, resentment and decline with old age. As ...                See full summary »",Masato Harada,457,N/A,winter
4776,The Goddess of Spring,"Animation, Short, Family",6.6,"The lovely goddess of spring, Persephone, is kidnapped by Hades, thus bringing about the winter season.",Wilfred Jackson,1180,N/A,winter
4777,Silence Becomes You,"Drama, Horror, Mystery",4.1,"The tale of two sisters, bound by more than blood, who bring home a man on a dare, only to see the situation spiral out of control.",Stephanie Sinclaire,1532,N/A,winter
4778,A Dog for Christmas,Comedy,5.0,Cute Holiday movie about a girl and her dog. Bringing holiday cheer to the entire family.,Chris Nickin,739,N/A,winter
4779,Tisícrocná vcela,"Comedy, Drama, War",7.9,"A historic mega-film, one family saga, three generations (1887 -1917) assimilated to the bee community in the hive. The queen bee serves as a big mother that symbolizes the family and ...                See full summary »",Juraj Jakubisko,586,N/A,winter
4780,Klammer,"Biography, Drama, Sport",6.4,The story behind the epic downhill race of Franz Klammer at the 1976 Winter Olympics.,Andreas Schmied,296,N/A,winter
4781,Wintermärchen,Drama,5.7,"Becky, Maik and Tommi, a group of right-wing radical youths, aim to establish a terrorist cell in Germany. Seeking national attention, they commit a range of escalating crimes whilst facing disorientation and their appetite for murder.",Jan Bonny,295,N/A,winter
4782,Punainen viiva,"Drama, History",6.8,"In 1906, a poor farmer in the backwoods of Finland -- then part of Russia -- struggles to make a living for his wife and four children. He hears about a new law that will allow equal voting...                See full summary »",Matti Kassila,207,N/A,winter
4783,Scarce,"Horror, Thriller",4.1,"SCARCE depicts the gruesome fate of three lost snowboarders trapped at an isolated forest cabin owned by two menacing locals who harvest human flesh. As the day of the slaughter nears, they...                See full summary »",Jesse Thomas Cook,1057,N/A,winter
